,event,nHits,hitTime,isDN,pmt_id,pmt_x,pmt_y,pmt_z
79822948,22,12466,81.47059,False,4338,16526.91,2388.4397,9476.107
79822949,22,12466,84.430916,False,4338,16526.91,2388.4397,9476.107
79822950,22,12466,84.88681,False,4338,16526.91,2388.4397,9476.107
79822951,22,12466,744.615,True,4338,16526.91,2388.4397,9476.107
79828474,22,12466,162.57272,False,7347,6923.262,-17571.746,3455.7495
79839033,22,12466,270.51443,False,12752,-5778.41,-14869.947,-10683.382
79843886,22,12466,258.59808,True,16817,16067.178999999998,-10297.082,-2110.8958
79849112,22,12466,276.66342,False,15315,12566.391000000001,-13524.374,-5274.196
79879231,22,12466,159.60715,False,12110,11981.913999999999,-8835.28,-12124.832
79905048,22,12466,168.71613,False,10588,-10886.607,-3721.157,-15371.231000000002
79905049,22,12466,270.7984,False,10588,-10886.607,-3721.157,-15371.231000000002
79931019,22,12466,263.5524,True,16180,18820.791,-1573.4004,-3455.7495
79966016,22,12466,184.0092,False,17395,-18999.938000000002,2658.2979,-758.8111
79997631,22,12466,798.56726,True,4595,-15976.961000000001,5559.9575,9080.947
80008151,22,12466,188.49057,False,10603,-3721.157,-10886.607,-15371.231000000002
80013229,22,12466,201.09601,False,15091,6828.754,-17013.516,-5705.118
80013230,22,12466,789.56775,True,15091,6828.754,-17013.516,-5705.118
80023765,22,12466,154.40388,False,12788,12497.771,-9915.192,-10683.382
80033864,22,12466,139.92918,False,9876,8950.598,2081.3723,-16858.074
80048561,22,12466,359.9376,False,13672,-12719.878,-11465.278999999999,-8682.860999999999
80110918,22,12466,142.7069,False,10176,10356.12,1053.1145,-16133.249
80158382,22,12466,431.14725,False,13013,10327.673,12830.131000000001,-9867.466999999999
80184447,22,12466,332.13525,False,8448,5769.1323,-18272.744,1209.9257
80205268,22,12466,857.4465,True,15569,17539.56,6448.7544,-4406.5186
80220813,22,12466,175.3654,False,15920,6482.3833,-17631.025,-3970.5962
80231454,22,12466,366.26685,False,17368,-12080.419,14903.948999999999,-758.8111
80231455,22,12466,101.14075,False,17368,-12080.419,14903.948999999999,-758.8111
80241589,22,12466,145.9762,False,6942,18174.36,-4349.170999999999,4406.5186
80247186,22,12466,176.73131,False,17709,13094.86,-14038.17,-307.27652
80262818,22,12466,189.08612,False,13505,1750.3943,-16825.947,-9080.947
80262819,22,12466,55.54797,True,13505,1750.3943,-16825.947,-9080.947
80268057,22,12466,210.4972,False,9605,5263.052,-5263.052,-17698.604
80278384,22,12466,814.6,True,14380,-6904.6313,16497.736,-6985.0376
80283604,22,12466,169.9163,False,9364,1687.5782,-5874.681,-18201.104
80308488,22,12466,189.1809,False,11788,14122.571000000002,-1965.8314,-12858.013
80345123,22,12466,204.28865,False,8946,2.3513217999999995e-12,0.0,-19200.0
80355843,22,12466,168.87625,False,13909,7104.379,-15798.226,-8281.537
80370888,22,12466,197.11995,False,9027,-1984.6826,-1703.7942,-19020.992
80381446,22,12466,148.16542,False,9271,3206.2859999999996,4606.5967,-18361.346
80430730,22,12466,172.83405,False,9841,-4193.208,-7651.6294,-17102.912
80446383,22,12466,265.52792,False,12583,-1659.6501,-15613.77,-11049.694
80457052,22,12466,302.80005,True,9761,3757.1313,-7435.111999999999,-17298.645
80498764,22,12466,88.87475,False,16697,-7241.6655,17656.229,-2110.8958
80498765,22,12466,102.78917,False,16697,-7241.6655,17656.229,-2110.8958
80530202,22,12466,101.28234,False,5919,18042.33,-264.88657,6560.803000000001
